Year,Total,Age_0_20,Age_21_30,Age_31_40,Age_41_50,Age_51_60,Age_61_over,Crew
1992,2353888,165303,506799,655888,437041,347713,241144,
1993,2742722,187117,584081,771697,529995,403083,266749,
1994,3478199,238102,741700,969774,685434,520589,322600,
1995,4155787,297653,892286,1142483,826261,620483,376621,
1996,4960735,398273,1104160,1300282,993990,720287,443743,
1997,4858135,414049,1094093,1256705,984909,676759,431620,
1998,3394050,233209,632736,839839,675863,394911,251009,366483
1999,4659935,354806,875894,1122090,935107,599890,380315,391833
2000,5794967,475259,1039951,1328402,1102822,699201,469724,679608
2001,6379255,569750,1133723,1444958,1268030,766182,513670,682942
2002,7441059,691961,1261619,1665648,1550554,897515,625732,748030
2003,7386088,729694,1213199,1640473,1592735,881823,585413,742751
2004,9139316,906752,1490654,1987184,1986780,1180754,770510,816682
2005,10372409,1064835,1698286,2217596,2252148,1386680,881437,871427
2006,11609879,1237803,1922433,2454843,2455250,1636540,964255,938755
2007,13324977,1470170,2179629,2806640,2751568,1939995,1147078,1029897
2008,11996094,1298135,2003121,2551668,2416351,1713049,990934,1022836
2009,9494111,913184,1635335,2036500,1876570,1300941,732961,998620
2010,12488364,1318201,1984574,2588354,2444700,1922604,1160798,1069133
2011,12693733,1349111,1986211,2648733,2470065,1974217,1131383,1134013
2012,13736976,1425861,2103810,2854094,2641406,2245089,1203882,1262834
2013,14846485,1577706,2243851,3116279,2847335,2409107,1331019,1321188
2014,16080684,1700739,2490443,3386235,3078382,2632272,1438017,1354596
2015,19310430,2196592,3148565,3910321,3639247,3188399,1802530,1424776
2016,22383190,2705515,3825443,4408523,4156605,3632897,2115253,1538954
2017,26496447,3391356,4621817,5174462,4895235,4213782,2540359,1659436
2018,28695983,3630295,4928816,5419475,5306236,4658349,2985218,1767594
2019,28714247,3544684,4841583,5415061,5214076,4734046,3170965,1793832
2020,4276006,558087,701362,646999,743189,625392,413577,587400
2021,1222541,102987,152869,182322,164647,116863,83513,419340
