기준연도,성별,연령대,기타공항,기타항구,김포공항,김해공항,부산항구,인천항구,인천공항,제주공항,제주항구
2022,남성,20세 이하,3307,604,4728,31098,170,,281333,827,190
2022,남성,21~30세,5659,888,8458,45205,468,5,448573,991,423
2022,남성,31~40세,6138,432,15026,57268,281,20,670190,1245,140
2022,남성,41~50세,7177,710,15343,57237,322,22,629080,1196,168
2022,남성,51~60세,8949,489,9801,49081,288,10,469430,1085,23
2022,남성,61세이상,7109,379,5309,35446,399,1,308515,768,1
2022,승무원,승무원,4833,82463,8158,21169,38723,20249,471745,1399,351
2022,여성,20세 이하,3409,171,5000,32216,120,,288192,807,10
2022,여성,21~30세,6328,223,11115,54947,117,3,616982,1412,72
2022,여성,31~40세,4754,59,13981,49824,97,1,541103,1111,12
2022,여성,41~50세,5152,87,10081,36607,138,,352504,1033,0
2022,여성,51~60세,6460,96,6768,36614,271,,330516,858,
2022,여성,61세이상,4639,138,5467,26996,458,,255315,672,
